Country,1951,1961,1971,1981,1991,2001,2011,2021,1951_,1961_,1971_,1981_,1991_,2001_,2011_,2021_
Mongolia,787000,995000,1310000,1718000,2181000,2462000,2721000,3322000,0.5,0.6,0.9,1.1,1.4,1.6,1.8,2.2
Montenegro,406000,476000,533000,592000,623000,633000,631000,628000,29.7,34.7,38.8,43,45.2,45.8,45.7,45.5
Montserrat,13000,12000,11000,11000,11000,5000,5000,4000,126,116.5,110.8,110.4,102.6,45.7,48.2,42.9
Morocco,9066000,11926000,15476000,19941000,24783000,28742000,32680000,36889000,20.6,27.1,35.1,45.3,56,64.8,73.7,83.1
Mozambique,5962000,6848000,8512000,11506000,13431000,17989000,23407000,31636000,7.6,8.8,11,14.8,17.2,23.2,30.2,40.8
Myanmar,17891000,21959000,27599000,33791000,40400000,45780000,49585000,53618000,27.6,34,42.7,52.2,62.3,70.4,76.2,82.3
Namibia,518000,596000,765000,983000,1393000,1839000,2115000,2511000,0.6,0.7,0.9,1.2,1.7,2.3,2.6,3.1
Nauru,3000,5000,7000,8000,10000,10000,10000,12000,170.4,237.6,338.9,384.6,495.1,518.2,514.2,625.6
Nepal,8489000,10264000,12638000,15785000,19866000,24761000,27228000,29698000,58.3,70.4,86.8,108.5,136.8,169.6,185.3,204.1
Netherlands,10160000,11568000,13114000,14175000,14995000,15942000,16659000,17467000,303.7,345.9,391.6,422.2,446.9,474.6,496,519.8
New Caledonia,64000,83000,113000,149000,179000,224000,264000,287000,3.6,4.6,6.3,8.2,9.9,12.4,14.6,15.7
New Zealand,1931000,2404000,2845000,3152000,3450000,3867000,4367000,5096000,7.4,9.2,10.8,11.9,13.1,14.7,16.5,19.4
Nicaragua,1350000,1817000,2485000,3351000,4277000,5159000,5899000,6802000,11.4,15.3,21,28.2,36,43.2,49.4,56.9
Niger,2615000,3549000,4734000,6268000,8501000,11823000,16959000,24786000,2.1,2.8,3.8,5,6.8,9.5,13.6,19.9
Nigeria,37543000,45381000,56194000,74075000,96465000,124468000,163173000,210874000,41.6,50.3,62.4,82.5,107.3,138.5,181.7,234.3
Niue,5000,5000,5000,4000,3000,2000,2000,2000,17.5,18.9,19.5,13.6,9.6,7.7,7,7.5
North Macedonia,1268000,1471000,1668000,1921000,2046000,2045000,2096000,2108000,51.5,59.5,67.4,77.7,81.8,82.4,84.2,84.4
Northern Mariana Islands,7000,9000,11000,19000,48000,81000,53000,50000,15.6,19.6,24.7,43.6,105.7,173.9,114.9,108.3
Norway,3281000,3595000,3888000,4092000,4250000,4504000,4921000,5392000,10.8,11.9,12.8,13.5,14,14.8,16.3,17.8
Oman,460000,541000,679000,1045000,1850000,2360000,3043000,4498000,1.5,1.8,2.2,3.5,6.1,7.7,10.4,14.6
Pakistan,37934000,46525000,60116000,82422000,117300000,156917000,196625000,229281000,49.6,61,79,109.3,154.6,206.5,257.6,300.2
Palau,7000,10000,12000,12000,15000,20000,18000,18000,16.4,21,25.5,26.9,34,43.1,39.7,39.2
Panama,872000,1144000,1537000,1980000,2476000,3031000,3656000,4323000,11.9,15.6,21,27,33.7,41.3,49.7,58.7
Papua New Guinea,1559000,2012000,2519000,3136000,3921000,5602000,7696000,9850000,3.5,4.5,5.6,7,8.8,12.6,17.2,22
Paraguay,1522000,1918000,2436000,3120000,4113000,5171000,5805000,6664000,3.8,4.8,6.1,7.8,10.3,12.9,14.4,16.6
Peru,7787000,10322000,13723000,17713000,22353000,26847000,29347000,33519000,6.2,8.2,10.9,14,17.6,21.1,23,26.3
Philippines,18878000,28924000,37928000,49053000,62301000,78796000,95487000,113094000,64.3,97.8,128.1,165.6,210.1,265.4,321.1,379.6
Poland,25009000,29723000,32584000,35683000,38120000,38668000,38615000,38379000,82.4,97.7,106.8,117.1,124.7,126.3,126.1,125.1
Portugal,8448000,8892000,8631000,9832000,9998000,10339000,10580000,10298000,92.1,96.7,94.6,107.2,108.6,112.8,114.9,111.9
Puerto Rico,2240000,2383000,2759000,3238000,3561000,3832000,3706000,3263000,258.9,276.6,320.1,375,411.7,440.9,424.7,374.6
Qatar,25000,38000,126000,286000,449000,662000,1754000,2692000,2.2,3.5,11.5,25.5,39.4,58.6,155.7,232
"Korea, South",20048000,26207000,32945000,38395000,44383000,46927000,48940000,51831000,203.3,268.4,336.4,391.5,449.6,475.7,497,523.8
Moldova,2400000,3175000,3732000,4121000,4488000,4227000,3638000,3075000,73.9,97.7,114.1,125.9,136.6,127.7,109.3,93.1
R̩union,254000,373000,479000,555000,666000,791000,893000,962000,103.5,151.8,193.3,223.7,269,318.2,358.7,386.5
Romania,16504000,18542000,20031000,22186000,22847000,21861000,20267000,19394000,72.2,80.9,87.6,96.7,99.3,94.7,87.9,84
Russia,103360000,120597000,130356000,138621000,148321000,146560000,143256000,145473000,6.4,7.4,8,8.5,9.1,8.9,8.8,8.9
Rwanda,2190000,3008000,3956000,5339000,7410000,8163000,10443000,13305000,92,125.8,165.9,224.8,309.2,339.7,436.9,556
Saint Barth̩lemy,2000,2000,2000,3000,5000,7000,9000,11000,93.6,100.8,110.7,138,243.9,330.5,414,493.7
Saint Helena,5000,5000,6000,6000,7000,6000,5000,5000,13.5,13.8,15,16.5,16.8,15.2,13.7,13.9
Saint Kitts and Nevis,48000,57000,45000,43000,40000,46000,47000,48000,186,216.3,171.5,165.2,155.9,176.9,183,183.1
Saint Lucia,87000,92000,104000,123000,143000,160000,172000,180000,141.7,150.6,170.1,201.2,234.2,260.7,279.5,291.6
Saint Martin (French part),3000,4000,6000,8000,29000,30000,37000,32000,58.4,80.3,112.4,150.2,542.2,573.3,685.8,602.8
